0.00E+00,2.11E+02,2.90E+02,0.00E+00,2.90E+02
1.00E-03,2.11E+02,2.90E+02,7.96E-03,2.90E+02
1.17E-03,2.11E+02,2.90E+02,8.74E-03,2.90E+02
1.36E-03,2.11E+02,2.90E+02,9.58E-03,2.90E+02
1.58E-03,2.12E+02,2.90E+02,1.05E-02,2.90E+02
1.85E-03,2.12E+02,2.90E+02,1.14E-02,2.90E+02
2.15E-03,2.12E+02,2.90E+02,1.24E-02,2.90E+02
2.51E-03,2.12E+02,2.90E+02,1.35E-02,2.90E+02
2.93E-03,2.13E+02,2.90E+02,1.46E-02,2.90E+02
3.41E-03,2.13E+02,2.90E+02,1.58E-02,2.90E+02
3.98E-03,2.13E+02,2.90E+02,1.71E-02,2.90E+02
4.64E-03,2.13E+02,2.90E+02,1.85E-02,2.90E+02
5.41E-03,2.14E+02,2.90E+02,1.99E-02,2.90E+02
6.31E-03,2.14E+02,2.90E+02,2.15E-02,2.90E+02
7.36E-03,2.14E+02,2.90E+02,2.31E-02,2.90E+02
8.58E-03,2.14E+02,2.90E+02,2.49E-02,2.90E+02
1.00E-02,2.15E+02,2.90E+02,2.69E-02,2.90E+02
1.17E-02,2.15E+02,2.90E+02,2.89E-02,2.90E+02
1.36E-02,2.15E+02,2.90E+02,3.12E-02,2.90E+02
1.58E-02,2.15E+02,2.90E+02,3.37E-02,2.90E+02
1.85E-02,2.16E+02,2.90E+02,3.63E-02,2.90E+02
2.15E-02,2.16E+02,2.90E+02,3.92E-02,2.90E+02
2.51E-02,2.16E+02,2.90E+02,4.24E-02,2.90E+02
2.93E-02,2.16E+02,2.90E+02,4.59E-02,2.90E+02
3.41E-02,2.17E+02,2.90E+02,4.97E-02,2.90E+02
3.98E-02,2.17E+02,2.90E+02,5.38E-02,2.90E+02
4.64E-02,2.17E+02,2.90E+02,5.83E-02,2.90E+02
5.41E-02,2.18E+02,2.90E+02,6.33E-02,2.90E+02
6.31E-02,2.20E+02,2.90E+02,6.92E-02,2.90E+02
7.36E-02,2.22E+02,2.90E+02,7.65E-02,2.90E+02
8.58E-02,2.25E+02,2.90E+02,8.59E-02,2.90E+02
1.00E-01,2.29E+02,2.90E+02,9.74E-02,2.90E+02
1.17E-01,2.32E+02,2.90E+02,1.11E-01,2.90E+02
1.36E-01,2.35E+02,2.90E+02,1.29E-01,2.90E+02
1.58E-01,2.38E+02,2.90E+02,1.49E-01,2.90E+02
1.85E-01,2.41E+02,2.90E+02,1.74E-01,2.90E+02
2.15E-01,2.45E+02,2.90E+02,2.04E-01,2.90E+02
2.51E-01,2.48E+02,2.90E+02,2.39E-01,2.90E+02
2.93E-01,2.52E+02,2.90E+02,2.82E-01,2.90E+02
3.41E-01,2.55E+02,2.90E+02,3.33E-01,2.90E+02
3.98E-01,2.59E+02,2.91E+02,3.94E-01,2.90E+02
4.64E-01,2.62E+02,2.91E+02,4.68E-01,2.90E+02
5.41E-01,2.66E+02,2.91E+02,5.57E-01,2.90E+02
6.31E-01,2.69E+02,2.91E+02,6.65E-01,2.90E+02
7.36E-01,2.73E+02,2.91E+02,7.94E-01,2.90E+02
8.58E-01,2.76E+02,2.91E+02,9.48E-01,2.90E+02
1.00E+00,2.76E+02,2.91E+02,1.12E+00,2.89E+02
1.17E+00,2.75E+02,2.90E+02,1.31E+00,2.89E+02
1.36E+00,2.73E+02,2.90E+02,1.50E+00,2.89E+02
1.58E+00,2.70E+02,2.90E+02,1.70E+00,2.89E+02
1.85E+00,2.67E+02,2.90E+02,1.90E+00,2.88E+02
2.15E+00,2.64E+02,2.90E+02,2.11E+00,2.88E+02
2.51E+00,2.61E+02,2.90E+02,2.33E+00,2.88E+02
2.93E+00,2.58E+02,2.90E+02,2.56E+00,2.87E+02
3.41E+00,2.55E+02,2.90E+02,2.80E+00,2.87E+02
3.98E+00,2.52E+02,2.90E+02,3.06E+00,2.87E+02
4.64E+00,2.50E+02,2.90E+02,3.34E+00,2.86E+02
5.41E+00,2.47E+02,2.89E+02,3.63E+00,2.86E+02
6.31E+00,2.44E+02,2.89E+02,3.95E+00,2.85E+02
7.36E+00,2.42E+02,2.89E+02,4.30E+00,2.85E+02
8.58E+00,2.39E+02,2.89E+02,4.68E+00,2.84E+02
1.00E+01,2.37E+02,2.89E+02,5.09E+00,2.84E+02
1.17E+01,2.35E+02,2.89E+02,5.54E+00,2.83E+02
1.36E+01,2.32E+02,2.89E+02,6.02E+00,2.83E+02
1.58E+01,2.30E+02,2.89E+02,6.53E+00,2.82E+02
1.85E+01,2.28E+02,2.88E+02,7.06E+00,2.81E+02
2.15E+01,2.26E+02,2.88E+02,7.62E+00,2.81E+02
2.51E+01,2.24E+02,2.88E+02,8.22E+00,2.80E+02
2.93E+01,2.23E+02,2.88E+02,8.88E+00,2.79E+02
3.41E+01,2.22E+02,2.88E+02,9.61E+00,2.79E+02
3.98E+01,2.21E+02,2.89E+02,1.04E+01,2.78E+02
4.64E+01,2.19E+02,2.89E+02,1.12E+01,2.78E+02
5.41E+01,2.18E+02,2.89E+02,1.21E+01,2.77E+02
6.31E+01,2.17E+02,2.89E+02,1.30E+01,2.76E+02
7.36E+01,2.16E+02,2.90E+02,1.39E+01,2.76E+02
8.58E+01,2.16E+02,2.90E+02,1.48E+01,2.75E+02
1.00E+02,2.16E+02,2.91E+02,1.59E+01,2.75E+02
1.20E+02,2.16E+02,2.92E+02,1.74E+01,2.75E+02
1.40E+02,2.16E+02,2.93E+02,1.87E+01,2.74E+02
1.60E+02,2.16E+02,2.94E+02,1.99E+01,2.74E+02
1.80E+02,2.19E+02,2.95E+02,2.13E+01,2.74E+02
2.00E+02,2.23E+02,2.97E+02,2.39E+01,2.73E+02
2.20E+02,2.27E+02,2.99E+02,2.81E+01,2.71E+02
2.40E+02,2.30E+02,3.01E+02,3.37E+01,2.68E+02
2.60E+02,2.34E+02,3.04E+02,4.05E+01,2.63E+02
2.80E+02,2.37E+02,3.06E+02,4.81E+01,2.58E+02
3.00E+02,2.40E+02,3.09E+02,5.58E+01,2.53E+02
3.20E+02,2.43E+02,3.12E+02,6.32E+01,2.49E+02
3.40E+02,2.45E+02,3.15E+02,7.05E+01,2.44E+02
3.60E+02,2.48E+02,3.18E+02,7.78E+01,2.40E+02
3.80E+02,2.51E+02,3.21E+02,8.52E+01,2.35E+02
4.00E+02,2.53E+02,3.24E+02,9.27E+01,2.31E+02
4.20E+02,2.55E+02,3.27E+02,1.00E+02,2.27E+02
4.40E+02,2.57E+02,3.30E+02,1.08E+02,2.22E+02
4.60E+02,2.59E+02,3.34E+02,1.16E+02,2.18E+02
4.80E+02,2.61E+02,3.37E+02,1.23E+02,2.14E+02
5.00E+02,2.63E+02,3.40E+02,1.31E+02,2.09E+02
5.20E+02,2.65E+02,3.43E+02,1.38E+02,2.05E+02
5.40E+02,2.67E+02,3.47E+02,1.46E+02,2.01E+02
5.60E+02,2.68E+02,3.50E+02,1.54E+02,1.96E+02
5.80E+02,2.70E+02,3.54E+02,1.62E+02,1.92E+02
6.00E+02,2.72E+02,3.57E+02,1.70E+02,1.87E+02
6.20E+02,2.73E+02,3.60E+02,1.78E+02,1.82E+02
6.40E+02,2.75E+02,3.64E+02,1.87E+02,1.77E+02
6.60E+02,2.76E+02,3.68E+02,1.95E+02,1.72E+02
6.80E+02,2.78E+02,3.71E+02,2.04E+02,1.67E+02
7.00E+02,2.79E+02,3.75E+02,2.13E+02,1.62E+02
7.20E+02,2.80E+02,3.79E+02,2.22E+02,1.57E+02
7.40E+02,2.82E+02,3.83E+02,2.31E+02,1.52E+02
7.60E+02,2.83E+02,3.87E+02,2.40E+02,1.47E+02
7.80E+02,2.84E+02,3.90E+02,2.48E+02,1.42E+02
8.00E+02,2.86E+02,3.94E+02,2.57E+02,1.37E+02
8.20E+02,2.87E+02,3.98E+02,2.66E+02,1.32E+02
8.40E+02,2.88E+02,4.01E+02,2.74E+02,1.27E+02
8.60E+02,2.89E+02,4.04E+02,2.83E+02,1.22E+02
8.80E+02,2.89E+02,4.07E+02,2.91E+02,1.17E+02
9.00E+02,2.90E+02,4.10E+02,2.99E+02,1.11E+02
9.20E+02,2.91E+02,4.13E+02,3.07E+02,1.06E+02
9.40E+02,2.92E+02,4.15E+02,3.15E+02,1.01E+02
9.60E+02,2.93E+02,4.18E+02,3.22E+02,9.56E+01
9.80E+02,2.93E+02,4.20E+02,3.30E+02,9.01E+01
1.00E+03,2.94E+02,4.23E+02,3.38E+02,8.43E+01
1.01E+03,2.94E+02,4.24E+02,3.43E+02,8.03E+01
